"Date","Price","Open","High","Low","Vol.","Change %"
"02/01/2009","64,360","62,500","68,000","61,500","0.22K","3.81%"
"01/01/2009","62,000","52,500","63,000","52,500","0.06K","26.53%"
"12/01/2008","49,000","53,800","53,800","49,000","0.03K","-5.77%"
"11/01/2008","52,000","52,000","52,000","52,000","","-5.11%"
"10/01/2008","54,800","60,000","60,000","55,000","0.08K","-11.95%"
"09/01/2008","62,240","78,000","78,500","59,000","0.29K","-20.71%"
"08/01/2008","78,500","87,000","87,000","77,500","0.15K","-11.80%"
"07/01/2008","89,000","109,800","109,800","90,500","0.07K","-19.60%"
"06/01/2008","110,700","110,000","112,000","110,000","0.01K","0.64%"
"05/01/2008","110,000","111,000","115,000","109,250","0.03K","0.92%"
"04/01/2008","109,000","108,000","111,500","108,000","0.02K","0.93%"
"03/01/2008","108,000","126,500","126,500","108,000","0.02K","-15.63%"
"02/01/2008","128,000","122,000","128,000","122,000","0.02K","24.03%"
"01/01/2008","103,200","103,200","103,200","103,200","","20.14%"
"12/01/2007","85,900","85,900","85,900","85,900","","-18.27%"
"11/01/2007","105,100","84,200","103,600","84,200","0.01K","21.93%"
"10/01/2007","86,200","86,200","86,200","86,200","","-0.92%"
"09/01/2007","87,000","79,000","87,800","79,000","0.04K","60.52%"
"04/01/2007","54,200","54,200","54,200","54,200","","-1.45%"
"03/01/2007","55,000","55,000","55,000","55,000","","0.92%"
"02/01/2007","54,500","54,500","54,500","54,500","","0.00%"
"01/01/2007","54,500","54,500","54,500","54,500","","0.00%"
"12/01/2006","54,500","54,500","54,500","54,500","","4.81%"
"11/01/2006","52,000","51,000","52,800","51,000","0.01K","5.69%"
"10/01/2006","49,200","49,200","49,200","49,200","0.02K","-6.12%"
